BASE_DOMAIN_PK,DOMAIN_NAME,SAMPLE_PAGE,TOTAL_TRACKERS,BLOCKED_TRACKERS,REMAINING_TRACKERS,GOOGLE_TRACKER,FACEBOOK_TRACKER
care.diabetesjournals.org,http://care.diabetesjournals.org/,http://care.diabetesjournals.org/content/30/4/813.full,6,3,3,TRUE,
cbsnews.com,https://www.cbsnews.com/,https://www.cbsnews.com/news/best-approach-to-preventing-low-back-pain/,53,25,28,TRUE,TRUE
chriskresser.com,http://chriskresser.com/,http://chriskresser.com/5-uncommon-uses-for-probiotics,23,9,14,TRUE,TRUE
cinnamonvogue.com,https://www.cinnamonvogue.com/,https://www.cinnamonvogue.com/dangers_of_cinnamon_capsules.html,1,0,1,TRUE,
cochranelibrary.com,https://www.cochranelibrary.com/,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD007807.pub3/abstract,6,1,5,TRUE,
cochraneprimarycare.org,http://www.cochraneprimarycare.org/,http://www.cochraneprimarycare.org/sites/cochraneprimarycare.org/files/uploads/PEARLS/126_Probiotics%20not%20effective%20for%20eczema.pdf,0,0,0,,
conceivingconcepts.com,http://www.conceivingconcepts.com/,http://www.conceivingconcepts.com/news/female-infertility/antioxidants-do-not-increase-fertility,18,10,8,TRUE,
corydonphysiotherapy.com,http://corydonphysiotherapy.com/,http://corydonphysiotherapy.com/spinal-decompression,9,5,4,TRUE,TRUE
curezone.com,http://curezone.com/,http://curezone.com/forums/am.asp?i=2074872,13,4,9,TRUE,TRUE
currexsole.co.uk,http://currexsole.co.uk/,http://currexsole.co.uk/injury-expert/insoles-lower-back-pain/,3,1,2,TRUE,
diabetesselfmanagement.com,http://www.diabetesselfmanagement.com/,http://www.diabetesselfmanagement.com/Blog/Tara-Dairman/cinnamon_mdash_not_so_useful/,24,10,14,TRUE,TRUE
diametrix.net,http://www.diametrix.net/,http://www.diametrix.net/diabeticherbs/cinnamon.html,2,1,1,,
drnicksrunningblog.com,http://www.drnicksrunningblog.com/,http://www.drnicksrunningblog.com/evidence-of-shoe-orthotics-not-helpful-in-treating-back-pain/,38,22,16,TRUE,TRUE
ebm-guidelines.com,http://www.ebm-guidelines.com/,http://www.ebm-guidelines.com/ebmg/ltk.free?p_artikkeli=ebm00435,0,0,0,,
emedicinehealth.com,http://www.emedicinehealth.com/,http://www.emedicinehealth.com/script/main/art.asp?articlekey=17531,8,3,5,TRUE,
evidentlycochrane.net,http://www.evidentlycochrane.net/,http://www.evidentlycochrane.net/no-good-evidence-that-antioxidants-will-help-you-get-pregnant/,7,3,4,TRUE,TRUE
examine.com,http://examine.com/,http://examine.com/supplements/Cinnamon/,13,5,8,TRUE,TRUE
fearlesseating.net,http://fearlesseating.net/,http://fearlesseating.net/three-reasons-you-should-stop-taking-probiotics/,10,3,7,TRUE,TRUE
footreliefinsoles.com,http://www.footreliefinsoles.com/,http://www.footreliefinsoles.com/frequently_asked_questions.htm#What_are_Foot_Relief_Insoles_designed_to_do,14,7,7,TRUE,TRUE
frontiersin.org,https://www.frontiersin.org/,https://www.frontiersin.org/articles/10.3389/fcimb.2017.00392/full,5,2,3,TRUE,
fyiliving.com,http://fyiliving.com/,http://fyiliving.com/health-news/wives-tale-alert-does-cranberry-really-help-urinary-tract-infections/,24,10,14,TRUE,TRUE
glackinpt.com,https://glackinpt.com/,https://glackinpt.com/will-traction-improve-low-back-pain/,13,7,6,TRUE,
hcahealthcare.com,https://hcahealthcare.com/,https://hcahealthcare.com/hl/?/900036/Shoe-Insoles-Do-Not-Appear-to-Treat-or-Prevent-Low-Back-Pain,3,1,2,TRUE,
health.cvs.com,http://health.cvs.com/,http://health.cvs.com/GetContent.aspx?token=f75979d3-9c7c-4b16-af56-3e122a3f19e3&chunkiid=473510,0,0,0,,
health24.com,https://www.health24.com/,https://www.health24.com/Medical/Diabetes/Diabetes-diet-and-obesity/Cinnamon-the-truth-20120721,36,21,15,TRUE,TRUE
healthx.ca,https://www.healthx.ca/,https://www.healthx.ca/result-traction-of-any-kind-is-pretty-much-useless-for-treating-low-back-pain/,15,6,9,TRUE,
holfordwatch.wordpress.com,http://holfordwatch.wordpress.com/,http://holfordwatch.wordpress.com/holford-myths/myth-the-scientific-support-for-chromium-and-cinnamon/,10,5,5,TRUE,
hopkinsclinic.com,http://www.hopkinsclinic.com/,http://www.hopkinsclinic.com/decompression-therapy-dts.htm,0,0,0,,
huffingtonpost.com,http://www.huffingtonpost.com/,http://www.huffingtonpost.com/2013/08/04/antioxidants-fertility_n_3697596.html,18,8,10,,TRUE
journals.lww.com,https://journals.lww.com/,https://journals.lww.com/spinejournal/Abstract/2009/04200/Insoles_for_Prevention_and_Treatment_of_Back_Pain_.11.aspx,11,5,6,TRUE,
latimes.com,http://www.latimes.com/,http://www.latimes.com/health/la-he-skeptic30-2008jun30-story.html,32,14,18,TRUE,TRUE
medicaldaily.com,http://www.medicaldaily.com/,http://www.medicaldaily.com/lack-evidence-suggests-women-taking-antioxidants-wont-increase-chances-fertility-249275,14,3,11,TRUE,TRUE
megacomfort.com,http://www.megacomfort.com/,http://www.megacomfort.com/technology/corporate-benefits,0,0,0,,
mommypotamus.com,http://www.mommypotamus.com/,http://www.mommypotamus.com/popular-probiotic-strain-may-induce-neurotoxicity/,7,3,4,TRUE,TRUE
natural-fertility-info.com,http://natural-fertility-info.com/,http://natural-fertility-info.com/antioxidants-and-fertility.html,7,0,7,TRUE,TRUE
naturalwomenscare.blogspot.ca,http://naturalwomenscare.blogspot.ca/,http://naturalwomenscare.blogspot.ca/2010/09/natural-solutions-for-fertility.html,16,12,4,TRUE,TRUE
ndnr.com,https://ndnr.com/,https://ndnr.com/fertility/antioxidants-for-female-infertility-a-review-of-the-literature/,0,0,0,,
news-medical.net,http://www.news-medical.net/,http://www.news-medical.net/news/20110729/Antioxidants-may-help-treat-infertility-problems-in-both-women-and-men.aspx,13,5,8,TRUE,TRUE
nhs.uk,https://www.nhs.uk/,https://www.nhs.uk/conditions/probiotics/,7,3,4,TRUE,
nutraingredients-usa.com,http://www.nutraingredients-usa.com/,http://www.nutraingredients-usa.com/Research/L.-rhamnosus-probiotic-shows-long-lasting-anti-eczema-benefits-for-kids-RCT,12,4,8,TRUE,TRUE
outalpha.com,http://outalpha.com/,http://outalpha.com/how-to-cure-bulging-discs-fix-lower-back-pain/ ,3,2,1,,
pain-in-lower-back.com,http://www.pain-in-lower-back.com/,http://www.pain-in-lower-back.com/lumbar-traction-device/,6,3,3,TRUE,
panthersportsmedicine.com,http://www.panthersportsmedicine.com/,http://www.panthersportsmedicine.com/mobile/Injuries-Conditions/Lower-Back/Research-Articles/Traction-Therapy-for-Chronic-Low-Back-Pain/a~703/article.html,5,2,3,TRUE,
pedro.org.au,http://www.pedro.org.au/,http://www.pedro.org.au/english/archive/top-15-trials/beurskens/,1,0,1,TRUE,
phys.org,http://phys.org/,http://phys.org/news/2011-01-antioxidants-fertility-problems-females.html,8,0,8,TRUE,TRUE
portobellophysio.ie,http://www.portobellophysio.ie/,http://www.portobellophysio.ie/disc-related-lower-back-pain-and-the-benefits-of-traction/,0,0,0,,
pregnancyandbaby.com,http://www.pregnancyandbaby.com/,http://www.pregnancyandbaby.com/conception/articles/936421/could-antioxidants-help-infertility-in-both-men-and-women,26,5,21,TRUE,TRUE
prestigeshoes.co.uk,http://www.prestigeshoes.co.uk/,http://www.prestigeshoes.co.uk/content/why-orthotics.html,5,3,2,TRUE,
sciencedaily.com,https://www.sciencedaily.com/,https://www.sciencedaily.com/releases/2013/08/130805092357.htm,5,2,3,TRUE,
spine-health.com,http://www.spine-health.com/,http://www.spine-health.com/wellness/ergonomics/shoe-insoles-lower-back-pain,9,2,7,TRUE,
spineuniversity.com,http://www.spineuniversity.com/,http://www.spineuniversity.com/evidence_against_the_use_of_shoe_insoles_to_prevent_low_back,8,3,5,TRUE,
streetdirectory.com,http://www.streetdirectory.com/,http://www.streetdirectory.com/travel_guide/108320/alternative_medicine/effective_eczema_natural_remedies__eczema_cure_tips.html,8,3,5,TRUE,
theadventurouswriter.com,http://theadventurouswriter.com/,http://theadventurouswriter.com/blogbaby/cause-infertility-women-antioxidants/,5,2,3,TRUE,
thebabycorner.com,http://www.thebabycorner.com/,http://www.thebabycorner.com/page/3107/,8,3,5,TRUE,
torontophysiotherapy.ca,http://torontophysiotherapy.ca/,http://torontophysiotherapy.ca/traction-or-spinal-decompression-therapy-doesnt-help-lower-back-pain/,3,0,3,TRUE,
trimdownclub.com,http://www.trimdownclub.com/,http://www.trimdownclub.com/cranberry-juice-does-not-prevent-urinary-tract-infections/,17,6,11,TRUE,TRUE
verywellhealth.com,https://www.verywellhealth.com/,https://www.verywellhealth.com/lumbar-traction-offers-no-benefit-for-back-pain-3999170,25,13,12,TRUE,
wesleymc.com,http://wesleymc.com/,http://wesleymc.com/hl/?/473510/Shoe-Insoles-Do-Not-Appear-to-Prevent-Chronic-Low-Back-Pain,2,1,1,TRUE,
whfoods.com,http://www.whfoods.com/,http://www.whfoods.com/genpage.php?tname=foodspice&dbid=145,5,2,3,TRUE,TRUE
winchesterhospital.org,http://www.winchesterhospital.org/,http://www.winchesterhospital.org/health-library/article?id=900036,11,4,7,TRUE,TRUE
worldallergy.org,http://www.worldallergy.org/,http://www.worldallergy.org/ask-the-expert/answers/probiotics-in-the-treatment-of-atopic-dermatitis-denica-zheleva,2,0,2,TRUE,
youtube.com,https://www.youtube.com/,https://www.youtube.com/watch?v=u11DfF6fuCM,6,5,1,TRUE,
aarp.org,https://www.aarp.org/,https://www.aarp.org/health/conditions-treatments/info-2018/insoles-worth-price-fd.html,64,29,35,TRUE,TRUE
